id,date,month,year,average_price,total_volume,plu_4046_sold,plu_4225_sold,plu_4770_sold,total_bags,small_bags,large_bags,xlarge_bags,type,region,metropolitan_region
37,2016-04-10,April,2016,1.18,143035.65,3698.97,67804.99,2131.31,69400.38,45422.41,23977.97,0,Organic,Mid South,Region
37,2016-04-10,April,2016,1.4,193519.09,16938.01,93768.59,0,82812.49,78412.84,4399.65,0,Organic,California,Region
37,2016-04-10,April,2016,1.21,91639,29757.15,7403.82,8.52,54469.51,41421.13,13048.38,0,Organic,South Central,Region
37,2016-04-10,April,2016,1.36,119113.13,3179.07,78515.93,4.67,37413.46,18514.62,18898.84,0,Organic,Great Lakes,Region
0,2016-12-25,December,2016,1.41,46895.78,3551.01,9031.23,279.29,34034.25,18333.61,15700.64,0,Organic,South East,Region
0,2016-12-25,December,2016,2,109788.24,8251.79,26476.86,716.82,74342.77,73179.47,1163.3,0,Organic,North East,Region
0,2016-12-25,December,2016,1.9,10968.74,9.92,301.24,0,10657.58,10657.58,0,0,Organic,Northern New England,Region
0,2016-12-25,December,2016,1.53,132890.31,22779.87,56237.83,10.76,53861.85,43478.17,10383.68,0,Organic,California,Region
0,2016-12-25,December,2016,1.48,95184.06,3993.87,63263,0,27927.19,22279.91,5647.28,0,Organic,Great Lakes,Region
0,2016-12-25,December,2016,1.21,94378.68,28632.23,4227.39,0,61519.06,59525.98,1993.08,0,Organic,South Central,Region
0,2016-12-25,December,2016,1.55,43291.45,4246.91,12543.71,637.94,25862.89,19475.27,6387.62,0,Organic,Plains,Region
0,2016-12-25,December,2016,1.68,72923.61,2716.25,30275.52,1628.46,38303.38,35684.99,2618.39,0,Organic,Mid South,Region
21,2015-08-02,August,2015,1.99,89435.6,26067.67,54133.2,0,9234.73,9234.73,0,0,Organic,California,Region
21,2015-08-02,August,2015,1.84,32696.45,6338.67,13870.67,37.76,12449.35,10259.64,2189.71,0,Organic,Plains,Region
21,2015-08-02,August,2015,2.02,51879.97,3801.74,18438.59,229.83,29409.81,29028.9,380.91,0,Organic,North East,Region
21,2015-08-02,August,2015,1.96,9346.73,87.59,753.74,0,8505.4,8478.73,26.67,0,Organic,Northern New England,Region
21,2015-08-02,August,2015,1.88,28234.61,9411.45,7533.08,820.16,10469.92,8399.35,2070.57,0,Organic,South East,Region
21,2015-08-02,August,2015,1.71,68742.23,6041.95,39663.14,3861.33,19175.81,15361.12,3814.69,0,Organic,Mid South,Region
21,2015-08-02,August,2015,1.37,59918.41,40814.07,6636.2,71.02,12397.12,12075.3,321.82,0,Organic,South Central,Region
21,2015-08-02,August,2015,1.64,82380.97,4097.55,68639.13,4.73,9639.56,5115.58,4523.98,0,Organic,Great Lakes,Region
16,2017-09-10,September,2017,1.75,108438.31,31218.95,4601.22,0,72618.14,71103.81,1514.33,0,Organic,South Central,Region
16,2017-09-10,September,2017,2.2,140337.35,40795.15,62854.16,0,36688.04,36679.32,8.72,0,Organic,California,Region
16,2017-09-10,September,2017,2.03,168953.84,4000.03,37302.61,622.28,127028.92,112342.72,14686.2,0,Organic,Mid South,Region
16,2017-09-10,September,2017,2.17,77245.2,2028.56,16157.29,160.15,58899.2,51415.21,7483.99,0,Organic,South East,Region
16,2017-09-10,September,2017,1.82,148357.84,3861.68,42215.34,0,102115.35,81205.15,20910.2,0,Organic,Great Lakes,Region
16,2017-09-10,September,2017,2.09,56583.1,1504.55,16919.57,24.03,38117.92,19391.33,18726.59,0,Organic,Plains,Region
16,2017-09-10,September,2017,1.68,16452.15,4.84,169.28,0,16278.03,16278.03,0,0,Organic,Northern New England,Region
16,2017-09-10,September,2017,1.85,244428.88,10454.25,38728.87,60.38,195185.38,188367.7,6817.68,0,Organic,North East,Region
36,2016-04-17,April,2016,1.84,119446.75,6852.49,28274.04,2138.19,82182.03,68444.04,13737.99,0,Organic,North East,Region
36,2016-04-17,April,2016,1.15,118580.72,29955.06,15129.88,17.07,73478.71,56962.55,16516.16,0,Organic,South Central,Region
36,2016-04-17,April,2016,1.22,126949.67,5761.44,64793.81,2005.02,54389.4,28323.2,26066.2,0,Organic,Mid South,Region
36,2016-04-17,April,2016,1.6,12342.22,0,263.91,0,12078.31,12078.31,0,0,Organic,Northern New England,Region
36,2016-04-17,April,2016,1.39,187358.5,17320,84073.76,6.08,85958.66,85340.06,618.6,0,Organic,California,Region
36,2016-04-17,April,2016,1.48,54241.93,16280.57,11390.63,403.64,26167.09,22303,3864.09,0,Organic,South East,Region
36,2016-04-17,April,2016,1.33,122388.94,2776.24,73943.65,12.53,45656.52,18674.26,26982.26,0,Organic,Great Lakes,Region
36,2016-04-17,April,2016,1.57,42572.64,4095.59,21297.04,3141.27,14038.74,7726.44,6312.3,0,Organic,Plains,Region
52,2017-01-01,January,2017,1.23,66616.54,22474.95,4797.17,17.37,39327.05,37358.81,1968.24,0,Organic,South Central,Region
52,2017-01-01,January,2017,2,115256.09,9132.13,36276.39,923.53,68924.04,65447.53,3476.51,0,Organic,North East,Region
52,2017-01-01,January,2017,1.46,164137.04,31267.65,65430.27,6.16,67432.96,50963.98,16468.98,0,Organic,California,Region
52,2017-01-01,January,2017,1.62,47042.21,4547.17,15245.73,1366.36,25882.95,17253.74,8629.21,0,Organic,Plains,Region
52,2017-01-01,January,2017,1.43,49777.56,4157.31,9930.6,262.28,35427.37,15637.05,19790.32,0,Organic,South East,Region
52,2017-01-01,January,2017,1.91,9214.09,6.23,130.87,0,9076.99,9076.99,0,0,Organic,Northern New England,Region
52,2017-01-01,January,2017,1.44,104153.91,4104.86,69800.29,0,30248.76,23593.03,6655.73,0,Organic,Great Lakes,Region
52,2017-01-01,January,2017,1.72,72287.79,3353.64,36090.72,1813.6,31029.83,29203.33,1826.5,0,Organic,Mid South,Region
20,2015-08-09,August,2015,2.03,86211.24,23147.23,52640.84,0,10423.17,10423.17,0,0,Organic,California,Region
20,2015-08-09,August,2015,1.9,29598.14,9939.07,8881.24,1018.58,9759.25,8916.47,842.78,0,Organic,South East,Region
20,2015-08-09,August,2015,1.7,84089.07,6759.99,64669.41,7.88,12651.79,9238.64,3413.15,0,Organic,Great Lakes,Region
20,2015-08-09,August,2015,1.65,81469.58,6068.03,43254.06,5020.21,27127.28,22422.37,4704.91,0,Organic,Mid South,Region
20,2015-08-09,August,2015,1.87,34667.31,5931,16409.94,18.94,12307.43,10591.35,1716.08,0,Organic,Plains,Region
20,2015-08-09,August,2015,1.42,79568.82,43853.21,8143.8,0,27571.81,27327.57,244.24,0,Organic,South Central,Region
20,2015-08-09,August,2015,1.89,59179.16,8200.55,20527.9,788.85,29661.86,29202.28,459.58,0,Organic,North East,Region
20,2015-08-09,August,2015,1.92,8552.32,21.61,639.29,0,7891.42,7881.42,10,0,Organic,Northern New England,Region
15,2017-09-17,September,2017,2.12,54502.39,1296.96,16452.09,60.03,36688.72,20458.94,16229.78,0,Organic,Plains,Region
15,2017-09-17,September,2017,1.84,151888.89,3588.06,43683.43,0,104460.38,81696.7,22763.68,0,Organic,Great Lakes,Region
15,2017-09-17,September,2017,1.54,15649.28,5.62,147.09,0,15496.57,15496.57,0,0,Organic,Northern New England,Region
15,2017-09-17,September,2017,1.8,108093.32,49755.71,3371.39,0,54966.22,53033.25,1932.97,0,Organic,South Central,Region
15,2017-09-17,September,2017,2.18,152064.59,48806.34,66114.77,0,37143.48,37121.28,22.2,0,Organic,California,Region
15,2017-09-17,September,2017,2.33,71648.47,2089.25,17722.64,103.36,51733.22,33649.14,18084.08,0,Organic,South East,Region
15,2017-09-17,September,2017,1.93,158623.92,3307.02,36351.09,628.33,118337.48,102794.03,15543.45,0,Organic,Mid South,Region
15,2017-09-17,September,2017,1.74,238274.56,9146.68,34141.63,44.41,194941.84,193019.04,1922.8,0,Organic,North East,Region
35,2016-04-24,April,2016,1.69,13226.51,1.27,356.71,0,12868.53,12868.53,0,0,Organic,Northern New England,Region
35,2016-04-24,April,2016,1.28,150140.95,4611.56,87073.08,44.08,58412.23,19471.08,38941.15,0,Organic,Great Lakes,Region
35,2016-04-24,April,2016,1.47,60780.65,14874.14,11223.24,354.59,34328.68,30773.57,3555.11,0,Organic,South East,Region
35,2016-04-24,April,2016,1.11,110395.86,27167.11,16727.91,39.84,66461,46304.57,20156.43,0,Organic,South Central,Region
35,2016-04-24,April,2016,1.29,61993.61,4954.72,21249.79,3329.15,32459.95,16741.92,15718.03,0,Organic,Plains,Region
35,2016-04-24,April,2016,1.39,208434.9,18891.23,100137.58,3.04,89403.05,89320.2,82.85,0,Organic,California,Region
35,2016-04-24,April,2016,1.5,104046.63,3821.26,49622.46,2134.91,48468,36585.43,11882.57,0,Organic,Mid South,Region
35,2016-04-24,April,2016,1.9,151219.06,7150.7,24966.54,2442.94,116658.88,103152.4,13506.48,0,Organic,North East,Region
51,2017-01-08,January,2017,1.67,56310.43,4527.73,18578.92,5649.58,27554.2,21617.03,5937.17,0,Organic,Plains,Region
51,2017-01-08,January,2017,1.5,177777.4,33563.39,69671.75,4.62,74537.64,69842.47,4695.17,0,Organic,California,Region
51,2017-01-08,January,2017,1.61,90503.81,3638.19,41242.82,2265.14,43357.66,40878.78,2478.88,0,Organic,Mid South,Region
51,2017-01-08,January,2017,1.99,132079.47,10600.01,29899.55,310.93,91268.98,86129.69,5139.29,0,Organic,North East,Region
51,2017-01-08,January,2017,1.41,61788.03,5147.21,14914.5,341.38,41384.94,20688.4,20696.54,0,Organic,South East,Region
51,2017-01-08,January,2017,1.86,12777.93,3.76,254.54,0,12519.63,12519.63,0,0,Organic,Northern New England,Region
51,2017-01-08,January,2017,1.55,100134.77,4237.93,57604.54,0,38292.3,28785.23,9507.07,0,Organic,Great Lakes,Region
51,2017-01-08,January,2017,1.1,104424.88,26212.5,6181.32,0,72031.06,69782.27,2248.79,0,Organic,South Central,Region
19,2015-08-16,August,2015,1.72,92086,7870.21,75764.76,0,8451.03,4920.39,3530.64,0,Organic,Great Lakes,Region
19,2015-08-16,August,2015,1.96,90240.43,24630.76,52035.43,0,13574.24,13574.24,0,0,Organic,California,Region
19,2015-08-16,August,2015,1.93,8259.26,16.42,690.82,0,7552.02,7552.02,0,0,Organic,Northern New England,Region
19,2015-08-16,August,2015,1.7,69867.41,6146.33,39087.25,4519.71,20114.12,15180.41,4933.71,0,Organic,Mid South,Region
19,2015-08-16,August,2015,1.88,32159.33,5368.34,15506.11,35.65,11249.23,9695.15,1554.08,0,Organic,Plains,Region
19,2015-08-16,August,2015,2.11,47299.93,6353.43,20046.99,806.2,20093.31,19683.26,410.05,0,Organic,North East,Region
19,2015-08-16,August,2015,1.75,36529.07,9052.44,9070.56,836.19,17569.88,16882.57,687.31,0,Organic,South East,Region
19,2015-08-16,August,2015,1.45,62132.94,32498.91,7976.91,0,21657.12,20726.4,930.72,0,Organic,South Central,Region
14,2017-09-24,September,2017,2.13,49093.24,1296.19,15708.29,379.9,31704.85,22812.27,8884.57,8.01,Organic,Plains,Region
14,2017-09-24,September,2017,1.68,255258.55,9811.16,31012,108.75,214326.64,214282.33,44.31,0,Organic,North East,Region
14,2017-09-24,September,2017,1.57,16661.59,1.21,105.02,0,16555.36,16555.36,0,0,Organic,Northern New England,Region
14,2017-09-24,September,2017,1.89,179687.73,3756.3,48823.74,0,126611.68,84494.08,42117.6,0,Organic,Great Lakes,Region
14,2017-09-24,September,2017,1.77,124121.46,43104.01,2957.09,0,78060.36,74777.97,3282.39,0,Organic,South Central,Region
14,2017-09-24,September,2017,2.25,90946.17,2085.26,19427.02,132.87,69301.02,46009.03,23291.99,0,Organic,South East,Region
14,2017-09-24,September,2017,2.05,138458.82,34599.22,63107.77,1.57,40750.26,40700.41,49.85,0,Organic,California,Region
14,2017-09-24,September,2017,1.91,176556.11,4036.4,34545.41,517.42,137448.65,115927.2,21521.45,0,Organic,Mid South,Region
34,2016-05-01,May,2016,1.24,225346.56,16747.64,132440.93,0,76157.99,76042.95,115.04,0,Organic,California,Region
34,2016-05-01,May,2016,1.44,57064.62,13485.35,11528.17,382.13,31668.97,24950.21,6718.76,0,Organic,South East,Region
34,2016-05-01,May,2016,1.94,151476.61,8435.32,33077.84,2206.77,107756.68,95608.27,12148.41,0,Organic,North East,Region
34,2016-05-01,May,2016,1.4,121983.64,2819.59,74390.65,22.17,44751.23,17013.33,27737.9,0,Organic,Great Lakes,Region
34,2016-05-01,May,2016,1.59,42077.45,4211.65,22094.2,1260.73,14510.87,8629.29,5881.58,0,Organic,Plains,Region
34,2016-05-01,May,2016,1.55,97128.22,3562.55,47499.55,2559.25,43506.87,33707.03,9799.84,0,Organic,Mid South,Region
34,2016-05-01,May,2016,1.62,11626.48,0,128.33,0,11498.15,11498.15,0,0,Organic,Northern New England,Region
34,2016-05-01,May,2016,1.13,113305.24,26730.12,12090.39,6307.41,68177.32,57465.21,10712.11,0,Organic,South Central,Region
50,2017-01-15,January,2017,1.36,63939.14,4716.66,12386.68,392.83,46442.97,24971.94,21471.03,0,Organic,South East,Region
50,2017-01-15,January,2017,1.67,88279.56,3414.04,43794.8,2191.38,38879.34,37053.18,1826.16,0,Organic,Mid South,Region
50,2017-01-15,January,2017,1.7,103487.72,4370.03,67260.09,0,31857.6,25703.71,6153.89,0,Organic,Great Lakes,Region
50,2017-01-15,January,2017,1.66,142739.21,27811.48,58090.25,3.08,56834.4,55364.11,1470.29,0,Organic,California,Region
50,2017-01-15,January,2017,1.94,134840.81,9284.34,31877.36,128.08,93551.03,91994.71,1556.32,0,Organic,North East,Region
50,2017-01-15,January,2017,1.56,64677.46,5384.45,18694.14,5562.78,35036.09,23848.37,11187.72,0,Organic,Plains,Region
50,2017-01-15,January,2017,1.77,10857.24,0,197.94,0,10659.3,10659.3,0,0,Organic,Northern New England,Region
50,2017-01-15,January,2017,1.06,109017.25,22335.2,6350.11,0,80331.94,78546.46,1785.48,0,Organic,South Central,Region
18,2015-08-23,August,2015,1.92,31850.38,5171.5,16543.46,14.28,10121.14,8311.71,1809.43,0,Organic,Plains,Region
18,2015-08-23,August,2015,1.71,37578.78,10061.25,10002.25,836.47,16678.81,12973,3705.81,0,Organic,South East,Region
18,2015-08-23,August,2015,1.91,9116.19,18.81,769.98,0,8327.4,8327.4,0,0,Organic,Northern New England,Region
18,2015-08-23,August,2015,1.59,107306.08,16868.78,74972.26,4.72,15460.32,6945.82,8514.5,0,Organic,Great Lakes,Region
18,2015-08-23,August,2015,1.7,74965.16,6396.33,38841.85,4122.53,25604.45,19831.56,5772.89,0,Organic,Mid South,Region
18,2015-08-23,August,2015,1.99,54255.52,4413.27,19200.77,917.81,29723.67,29487.98,235.69,0,Organic,North East,Region
18,2015-08-23,August,2015,1.39,70321.03,40616.1,6512.06,0,23192.87,21264.28,1928.59,0,Organic,South Central,Region
18,2015-08-23,August,2015,1.85,107431.24,30454.79,63850.97,3.11,13122.37,13122.37,0,0,Organic,California,Region
13,2017-10-01,October,2017,1.99,149030.87,4351.29,33501.74,592.25,110585.59,101954.05,8631.54,0,Organic,Mid South,Region
13,2017-10-01,October,2017,1.7,236097.14,9408.76,23215.19,79.66,203393.53,203353.59,39.94,0,Organic,North East,Region
13,2017-10-01,October,2017,2.09,60186.09,1616.73,15507.7,1134.3,41901.3,32057.02,9844.28,0,Organic,Plains,Region
13,2017-10-01,October,2017,1.72,180253.26,3467.06,52244.98,0,124087.1,109113,14974.1,0,Organic,Great Lakes,Region
13,2017-10-01,October,2017,1.56,18317.19,10.88,163.19,0,18143.12,18143.12,0,0,Organic,Northern New England,Region
13,2017-10-01,October,2017,2.29,83783.04,2020.76,18485.31,135.54,63141.43,52500.31,10641.12,0,Organic,South East,Region
13,2017-10-01,October,2017,1.75,107773.96,31572.3,2854.98,0,73346.68,72854.87,491.81,0,Organic,South Central,Region
13,2017-10-01,October,2017,2.08,132771.77,31036.76,59948.6,0,41786.41,41755.45,30.96,0,Organic,California,Region
33,2016-05-08,May,2016,1.39,103093.15,4623.07,50399.91,2604.83,45465.34,25178.32,20287.02,0,Organic,Mid South,Region
33,2016-05-08,May,2016,1.25,256669.13,19169.71,147864.84,0,89634.58,89474.61,159.97,0,Organic,California,Region
33,2016-05-08,May,2016,1.63,11801.47,0,298.93,0,11502.54,11502.54,0,0,Organic,Northern New England,Region
33,2016-05-08,May,2016,1.39,123789.24,2728.52,79832.73,39.76,41188.23,17603.76,23584.47,0,Organic,Great Lakes,Region
33,2016-05-08,May,2016,1.58,54825.59,5399.74,23826.5,11269.89,14329.46,8338.82,5990.64,0,Organic,Plains,Region
33,2016-05-08,May,2016,1.78,123022.55,5189.53,23717.51,2043.91,92071.6,76581.12,15490.48,0,Organic,North East,Region
33,2016-05-08,May,2016,1.53,52129.42,14799.32,10278.09,401.59,26650.42,22526.26,4124.16,0,Organic,South East,Region
33,2016-05-08,May,2016,1.07,133142.97,30976.28,8774.75,4649.03,88742.91,59018.15,29724.76,0,Organic,South Central,Region
49,2017-01-22,January,2017,1.89,13492.85,2.54,185.06,0,13305.25,13305.25,0,0,Organic,Northern New England,Region
49,2017-01-22,January,2017,1.02,147163.14,28151.07,6856.25,0,112155.82,107713.44,4442.38,0,Organic,South Central,Region
49,2017-01-22,January,2017,1.49,96918.39,2981.29,38351.15,1985.43,53600.52,39758.09,13842.43,0,Organic,Mid South,Region
49,2017-01-22,January,2017,1.19,155334.45,3657.79,74068.65,0,77608.01,27302.29,50305.72,0,Organic,Great Lakes,Region
49,2017-01-22,January,2017,1.93,135079.52,10781.15,31238,886.21,92174.16,91298.2,875.96,0,Organic,North East,Region
49,2017-01-22,January,2017,1.36,58686.47,4163.56,12655.77,353.2,41513.94,21717.79,19796.15,0,Organic,South East,Region
49,2017-01-22,January,2017,1.53,136422.97,28034.89,54342.56,6.18,54039.34,49913.43,4125.91,0,Organic,California,Region
49,2017-01-22,January,2017,1.57,55867.65,5924.1,18291.59,3406.4,28245.56,18114.66,10130.9,0,Organic,Plains,Region
17,2015-08-30,August,2015,1.92,8005.96,3.72,675.06,0,7327.18,7327.18,0,0,Organic,Northern New England,Region
17,2015-08-30,August,2015,1.56,96236.54,12072.61,68165.17,0,15998.76,5736.66,10262.1,0,Organic,Great Lakes,Region
17,2015-08-30,August,2015,1.74,33530.11,9183.16,8692.14,802.48,14852.33,12185.97,2666.36,0,Organic,South East,Region
17,2015-08-30,August,2015,1.33,75913.85,42626.84,5041.59,0,28245.42,25411.12,2834.3,0,Organic,South Central,Region
17,2015-08-30,August,2015,1.98,90125.42,23449.1,55879.18,0,10797.14,10797.14,0,0,Organic,California,Region
17,2015-08-30,August,2015,1.9,34522.02,5108.15,17178.11,16.73,12219.03,9923.77,2295.26,0,Organic,Plains,Region
17,2015-08-30,August,2015,2.01,50307.57,3998.98,19017.27,852.47,26438.85,25235.11,1203.74,0,Organic,North East,Region
17,2015-08-30,August,2015,1.7,69033.16,4216.66,39193.19,3852.33,21770.98,17878.06,3892.92,0,Organic,Mid South,Region
12,2017-10-08,October,2017,1.75,106062.64,27054.58,3391.43,0,75616.63,75373.41,243.22,0,Organic,South Central,Region
12,2017-10-08,October,2017,1.7,191866.1,3603.46,56237.45,1.62,131818.51,124355.02,7463.49,0,Organic,Great Lakes,Region
12,2017-10-08,October,2017,1.52,21089.7,10.89,194.84,0,20883.97,20879.53,4.44,0,Organic,Northern New England,Region
12,2017-10-08,October,2017,2.02,60256.56,1701.98,14818.4,366.66,43369.52,34313.95,9055.57,0,Organic,Plains,Region
12,2017-10-08,October,2017,2.17,124505.87,26222.41,53539.49,0,44743.97,44692.13,51.84,0,Organic,California,Region
12,2017-10-08,October,2017,2.13,76471.6,1400.23,16197.16,96.54,58777.67,56973.78,1803.89,0,Organic,South East,Region
12,2017-10-08,October,2017,1.64,275572,11078.6,25362.38,131.65,238999.37,238752.11,247.26,0,Organic,North East,Region
12,2017-10-08,October,2017,1.87,176218.89,4376.74,35185.02,566.08,136087.82,131997.28,4090.54,0,Organic,Mid South,Region
32,2016-05-15,May,2016,1.5,202641.92,26935.79,102253.41,0,73452.72,73429.11,23.61,0,Organic,California,Region
32,2016-05-15,May,2016,1.11,128078.72,32418.44,15000.26,249.18,80410.84,59811.01,20599.83,0,Organic,South Central,Region
32,2016-05-15,May,2016,1.79,112278.17,5714.39,26314.99,2397.2,77851.59,67997.52,9854.07,0,Organic,North East,Region
32,2016-05-15,May,2016,1.44,63876.47,14100.94,10954.62,341.16,38479.75,32194.5,6285.25,0,Organic,South East,Region
32,2016-05-15,May,2016,1.65,47778.34,5526.42,23572.79,2753.86,15925.27,9033.29,6891.98,0,Organic,Plains,Region
32,2016-05-15,May,2016,1.48,96681.58,3216.13,48296.01,2055.04,43114.4,28449.43,14664.97,0,Organic,Mid South,Region
32,2016-05-15,May,2016,1.42,119264.62,2617.15,73990.73,54.29,42602.45,18199.73,24402.72,0,Organic,Great Lakes,Region
32,2016-05-15,May,2016,1.22,5778.15,0,220.55,0,5557.6,5557.6,0,0,Organic,Northern New England,Region
48,2017-01-29,January,2017,1.54,95499.48,3428.23,45235.31,2048.59,44787.35,33303.24,11484.11,0,Organic,Mid South,Region
48,2017-01-29,January,2017,1.44,165225.54,30958.58,65973.06,23.2,68270.7,52928.72,15341.98,0,Organic,California,Region
48,2017-01-29,January,2017,1.55,49505.09,4305.53,16857.63,935.56,27406.37,16105.53,11300.84,0,Organic,Plains,Region
48,2017-01-29,January,2017,1.43,53543.13,4423.96,12562.99,317.33,36238.85,13961.85,22277,0,Organic,South East,Region
48,2017-01-29,January,2017,1.84,12789.12,3.82,333.23,0,12452.07,12452.07,0,0,Organic,Northern New England,Region
48,2017-01-29,January,2017,1.08,121203.53,35172.06,5405.54,0,80625.93,76958.46,3667.47,0,Organic,South Central,Region
48,2017-01-29,January,2017,1.35,129565.39,4443.31,72888.67,0,52233.41,24074.61,28158.8,0,Organic,Great Lakes,Region
48,2017-01-29,January,2017,1.93,132820.76,10226.18,29196.51,90.66,93307.41,91291.73,2015.68,0,Organic,North East,Region
16,2015-09-06,September,2015,1.95,6936.51,3.7,669.84,0,6262.97,6262.97,0,0,Organic,Northern New England,Region
16,2015-09-06,September,2015,1.67,74083.65,4321.27,39381.46,3866.74,26514.18,21807.88,4706.3,0,Organic,Mid South,Region
16,2015-09-06,September,2015,1.86,64445.98,5543.4,21432.21,1136.01,36334.36,35519.22,815.14,0,Organic,North East,Region
16,2015-09-06,September,2015,1.99,88963.61,23875.92,56393.97,0,8693.72,8693.72,0,0,Organic,California,Region
16,2015-09-06,September,2015,1.61,95931.87,10710.92,70456.63,0,14764.32,8139.62,6624.7,0,Organic,Great Lakes,Region
16,2015-09-06,September,2015,1.91,30307.58,5214.44,15626.82,23.99,9442.33,7806.44,1635.89,0,Organic,Plains,Region
16,2015-09-06,September,2015,1.49,62392.78,31056.58,5271.1,0,26065.1,25665.86,399.24,0,Organic,South Central,Region
16,2015-09-06,September,2015,1.9,30582.99,8521.29,9414.03,830.21,11817.46,11330.12,487.34,0,Organic,South East,Region
11,2017-10-15,October,2017,1.74,115437.92,24823.67,3241.9,0,87372.35,85526.15,1846.2,0,Organic,South Central,Region
11,2017-10-15,October,2017,1.68,197529.4,3318.61,54525.35,0,139481.99,126855.79,12626.2,0,Organic,Great Lakes,Region
11,2017-10-15,October,2017,1.99,72393.25,1416.56,16951.37,118.81,53906.51,49798.36,4108.15,0,Organic,South East,Region
11,2017-10-15,October,2017,2.07,53711.04,1119.87,14609.29,414.22,37562.6,26290.94,11271.66,0,Organic,Plains,Region
11,2017-10-15,October,2017,1.7,269123.79,12497.35,23859.81,117.29,232649.34,232373.13,276.21,0,Organic,North East,Region
11,2017-10-15,October,2017,2.1,115255.48,25513.54,44390.25,0,45351.69,45271.06,80.63,0,Organic,California,Region
11,2017-10-15,October,2017,1.64,23800.97,0,202.17,0,23598.8,23598.8,0,0,Organic,Northern New England,Region
11,2017-10-15,October,2017,1.84,174355,2928.11,35554.07,556.45,135316.37,127686.14,7630.23,0,Organic,Mid South,Region
31,2016-05-22,May,2016,1.26,7645.75,3.81,249.99,0,7391.95,7391.95,0,0,Organic,Northern New England,Region
